matchup,page,date,content_type,collection,pages
Old Warden v Edworth,1,19390624,match information,Tony Webb minor counties collection,1
Shire Hall v Ickwell,1,19390627,match information,Tony Webb minor counties collection,1
Howard v Kempston Methodists,1,19390628,match information,Tony Webb minor counties collection,1
Little Staughton v Stevington,1,19390624,match information,Tony Webb minor counties collection,1
Colmworth v Woodbury,1,19390624,match information,Tony Webb minor counties collection,1
Goldington Road School v Silver Jubilee School,1,19390627,match information,Tony Webb minor counties collection,1
Caldecote Second XI v RBS,1,19390624,match information,Tony Webb minor counties collection,1
Ickwell Second XI v Renhold,1,19390624,match information,Tony Webb minor counties collection,1
Bedford Modern School v Northants Amateurs,2,19390712,match information,Tony Webb minor counties collection,1
Ampthill v Clophill,2,19390708,match information,Tony Webb minor counties collection,1
Bedfordshire v Oxfordshire,3,19390731,fixture information,Tony Webb minor counties collection,1
Bedfordshire v Buckinghamshire,3,19390802,fixture information,Tony Webb minor counties collection,1
Bedfordshire v Hertfordshire,3,19390728,fixture information,Tony Webb minor counties collection,1
Old Bedfordians v Bedford School,3,19390728,match information,Tony Webb minor counties collection,1
Bedford Town v Harrow Town,3,19390729,match information,Tony Webb minor counties collection,2
Bedford Martlets match list,3,19390000,team information,Tony Webb minor counties collection,1
Bedford Martlets players,3,19390000,player information,Tony Webb minor counties collection,1
Campin player statistics,3,19390000,statistics,Tony Webb minor counties collection,1
Old Bedfordians v Bedford School,4,19390729,match information,Tony Webb minor counties collection,1
Old Modernians v Modern School,4,19390727,match information,Tony Webb minor counties collection,1
Bedfordshire County Cricket Week,4,19390731,newspaper cuttings,Tony Webb minor counties collection,1
Bedford Martlets v Bedford Clarence,4,19390729,match information,Tony Webb minor counties collection,1
Bedford Town v Harrow Town,5,19390729,match information,Tony Webb minor counties collection,2
Bedford Town Second XI v Bury St Edmund's,5,19390729,match information,Tony Webb minor counties collection,1
Shire Hall v Eaton Socon,5,19390729,match information,Tony Webb minor counties collection,1
Aspley Guise v Barclays Bank,5,19390729,match information,Tony Webb minor counties collection,1
Woburn Town v Shire Hall Second XI,5,19390729,match information,Tony Webb minor counties collection,1
Goldington Road School v The Rest,5,19390728,match information,Tony Webb minor counties collection,1
Luton Town Wednesday v RAF Henlow,5,19390729,match information,Tony Webb minor counties collection,1
Harpur Sports v Biggleswade,5,19390729,match information,Tony Webb minor counties collection,1
Marston v Shire Hall Second XI,5,19390000,fixture information,Tony Webb minor counties collection,1
Bedford and District League match list,5,19390000,team information,Tony Webb minor counties collection,2
Bedfordshire v Oxfordshire,6,19390807,fixture information,Tony Webb minor counties collection,1
Buckinghamshire,6,19390809,fixture information,Tony Webb minor counties collection,1
Hertfordshire,6,19390811,fixture information,Tony Webb minor counties collection,1
Ickwell v Kempston,6,19390729,match information,Tony Webb minor counties collection,1
Goldington v Ridgmont,6,19390729,match information,Tony Webb minor counties collection,1
Thurleigh v Cople,6,19390729,match information,Tony Webb minor counties collection,1
Keysoe v Forders Elstow,6,19390729,match information,Tony Webb minor counties collection,1
