matchup,page,date,content_type,collection,pages
Kensworth v Dunstable Victoria,1,18950603,match information,Tony Webb minor counties collection,1
Caddington v Dunstable Second XI,1,18950606,match information,Tony Webb minor counties collection,1
St Albans Grammar School v Dunstable Grammar School,1,18950601,match information,Tony Webb minor counties collection,1
Chalton v Houghton Second XI,1,18950603,match information,Tony Webb minor counties collection,1
Waterlow's v East Finchley,1,18950527,match information,Tony Webb minor counties collection,1
F Gentle's XI v Waterlow's,2,18950629,match information,Tony Webb minor counties collection,1
Dunstable Grammar School v Bedford County School,2,18950629,match information,Tony Webb minor counties collection,1
Waterlow's v Aylesbury Printing Works,2,18950629,match information,Tony Webb minor counties collection,1
Woburn v Fenny Stratford,3,18950805,match information,Tony Webb minor counties collection,1
Silsoe v Maulden,3,18950801,match information,Tony Webb minor counties collection,1
Houghton Married v Single,3,18950805,match information,Tony Webb minor counties collection,2
Sowell Lime Works v Blows Down Lime Works,3,18950803,match information,Tony Webb minor counties collection,1
"Waterlow's v St Matthew's, Luton",3,18950803,match information,Tony Webb minor counties collection,2
Dunstable Second XI v Markyate Street,3,18950803,match information,Tony Webb minor counties collection,2
Haviland's XI v Luton Villa Road,4,18950803,match information,Tony Webb minor counties collection,1
Lilley v St Paul's Walden,4,18950805,match information,Tony Webb minor counties collection,1
Houghton Married v Single,4,18950805,match information,Tony Webb minor counties collection,2
"Waterlow's v St Matthew's, Luton",4,18950803,match information,Tony Webb minor counties collection,2
Dunstable Second XI v Markyate Street,4,18950803,match information,Tony Webb minor counties collection,2
LCR Thring,5,18950000,biography,Tony Webb minor counties collection,1
Houghton v Westoning,6,18950812,match information,Tony Webb minor counties collection,3
Hyde v St Matthew's,7,18950810,match information,Tony Webb minor counties collection,1
Greenfield v Pulloxhill,7,18950812,match information,Tony Webb minor counties collection,1
Luton Detachment v Remainder Of Third Volunteer Battalion,7,18950807,match information,Tony Webb minor counties collection,2
Hockliffe v Woburn,7,18950810,match information,Tony Webb minor counties collection,1
Dunstable Town First XI v Aston Clinton,9,18950820,match information,Tony Webb minor counties collection,1
Dunstable Second XI v Houghton,9,18950820,match information,Tony Webb minor counties collection,1
Waterlow's v Aylesbury Printing Works,9,18950817,match information,Tony Webb minor counties collection,2
