matchup,page,date,content_type,collection,pages
Kensworth v Dunstable Victoria,1,18950527,match information,Tony Webb minor counties collection,1
Caddington v Dunstable Second XI,1,18950606,match information,Tony Webb minor counties collection,1
St Albans Grammar School v Dunstable Grammar School,1,18950601,match information,Tony Webb minor counties collection,1
Chalton v Houghton Second XI,1,18950603,match information,Tony Webb minor counties collection,1
Waterlow's v East Finchley,1,18950527,match information,Tony Webb minor counties collection,1
F Gentle's XI v Waterlow's,2,18950629,match information,Tony Webb minor counties collection,1
Dunstable Grammar School v Bedford County School,2,18950629,match information,Tony Webb minor counties collection,1
Waterlow's v Aylesbury Printing Works,2,18950629,match information,Tony Webb minor counties collection,1
Woburn v Fenny Stratford,3,18950805,match information,Tony Webb minor counties collection,1
Silsoe v Maulden,3,18950801,match information,Tony Webb minor counties collection,1
Houghton Married v Single,3,18950805,match information,Tony Webb minor counties collection,2
Sewell Lime Works v Blows Down Lime Works,3,18950803,match information,Tony Webb minor counties collection,1
"Waterlow's v St Matthew's, Luton",3,18950803,match information,Tony Webb minor counties collection,2
Dunstable Second XI v Markyate Street,3,18950803,match information,Tony Webb minor counties collection,2
R H Haviland's XI v Luton Villa-Road,4,18950803,match information,Tony Webb minor counties collection,1
"Waterlow's v St Matthew's, Luton",4,18950803,match information,Tony Webb minor counties collection,2
Lilley v St Paul's Walden,4,18950805,match information,Tony Webb minor counties collection,1
Houghton Married v Single,4,18950805,match information,Tony Webb minor counties collection,2
Dunstable Second XI v Markyate Street,4,18950803,match information,Tony Webb minor counties collection,2
L C R Thring,5,18950814,biography,Tony Webb minor counties collection,1
Houghton v Westoning,6,18950812,match information,Tony Webb minor counties collection,3
Hyde v St Matthew's,7,18950810,match information,Tony Webb minor counties collection,1
Greenfield v Pulloxhill,7,18950812,match information,Tony Webb minor counties collection,1
Houghton v Westoning,7,18950812,match information,Tony Webb minor counties collection,3
Luton Detachment v Remainder Of The Third Volunteer Battalion,7,18950807,match information,Tony Webb minor counties collection,1
Hockliffe v Woburn,7,18950810,match information,Tony Webb minor counties collection,1
Luton Volunteers v Rest Of Battalion,8,18950800,match information,Tony Webb minor counties collection,1
Houghton v Westoning,8,18950812,match information,Tony Webb minor counties collection,3
Dunstable Town First XI v Aston Clinton,9,18950820,match information,Tony Webb minor counties collection,1
Dunstable Second XI v Houghton,9,18950800,match information,Tony Webb minor counties collection,2
Waterlow's v Aylesbury Printing Works,9,18950817,match information,Tony Webb minor counties collection,2
Dunstable Town v Aston Clinton,10,18950820,match information,Tony Webb minor counties collection,1
Waterlow's v Aylesbury Printing Works,10,18950817,match information,Tony Webb minor counties collection,2
Dunstable Second XI v Houghton,10,18950800,match information,Tony Webb minor counties collection,2
Markyate v Waterlow's,11,18950824,match information,Tony Webb minor counties collection,2
Dunstable Second XI v Caddington,11,18950822,match information,Tony Webb minor counties collection,1
Dunstable Second XI v Carter's,11,18950824,match information,Tony Webb minor counties collection,2
Dunstable Volunteers v Luton Detachment,11,18950824,match information,Tony Webb minor counties collection,1
Dunstable Second XI v Carter's,12,18950824,match information,Tony Webb minor counties collection,2
Markyate v Waterlow's,12,18950824,match information,Tony Webb minor counties collection,2
Reading v Slough,13,18950518,match information,Tony Webb minor counties collection,1
Reading School v Hurst,13,18950518,match information,Tony Webb minor counties collection,1
Biscuit Factory A XI v Wokingham,13,18950518,match information,Tony Webb minor counties collection,1
Biscuit Factory B XI v Twyford,13,18950518,match information,Tony Webb minor counties collection,1
Married v Single,13,18950518,match information,Tony Webb minor counties collection,1
Grazeley And Spencer's Wood Institute v Biscuit Factory C XI,13,18950518,match information,Tony Webb minor counties collection,1
Sutton's A XI v Culham,13,18950522,match information,Tony Webb minor counties collection,1
Sutton's B XI v Grazeley And Spencer's Wood Institute,13,18950522,match information,Tony Webb minor counties collection,1
Oxford-Road v Caversham House,13,18950515,match information,Tony Webb minor counties collection,1
Temperance Forwards v St Andrew's,13,18950518,match information,Tony Webb minor counties collection,1
Claremont v Granville,13,18950518,match information,Tony Webb minor counties collection,1
Kendrick School v Caversham St John's,14,18950518,match information,Tony Webb minor counties collection,1
Sonning v Caversham,14,18950518,match information,Tony Webb minor counties collection,1
Wokingham Excelsior v Woodley,14,18950518,match information,Tony Webb minor counties collection,1
Abbey Wharf v Caversham Second XI,14,18950518,match information,Tony Webb minor counties collection,1
Trinity Congregational v Thames Bank Iron Works,14,18950518,match information,Tony Webb minor counties collection,1
All Saints' v Boys' Brigade Second XI,14,18950518,match information,Tony Webb minor counties collection,1
Christ Church v Wycliffe,14,18950518,match information,Tony Webb minor counties collection,1
Heath End v Caversham Free Church,14,18950518,match information,Tony Webb minor counties collection,1
Swallowfield Park v Eversley,14,18950518,match information,Tony Webb minor counties collection,1
Reading Wednesday v Shinfield,14,18950522,match information,Tony Webb minor counties collection,1
Reading Co-Operative v Aldworth,15,18950522,match information,Tony Webb minor counties collection,1
Earley St Peter's v Shinfield,15,18950518,match information,Tony Webb minor counties collection,1
Kidmore v Tilehurst,15,18950518,match information,Tony Webb minor counties collection,1
Kendrick School v Sutton's Juniors,15,18950522,match information,Tony Webb minor counties collection,1
London-Street Institute v Post Office,15,18950522,match information,Tony Webb minor counties collection,1
Blue Coat School v St Giles' Brigade,15,18950518,match information,Tony Webb minor counties collection,1
Cold Ash v Chieveley,15,18950500,match information,Tony Webb minor counties collection,1
British School v St Mary's School,15,18950500,match information,Tony Webb minor counties collection,1
Broad-Street United v St Lawrence's,15,18950518,match information,Tony Webb minor counties collection,1
Oxford-Road v St John's,15,18950518,match information,Tony Webb minor counties collection,1
London-Street Institute v Cumberland-Road,15,18950500,match information,Tony Webb minor counties collection,1
British School v Victoria,15,18950500,match information,Tony Webb minor counties collection,1
Reading School team aggregates,16,18950715,statistics,Tony Webb minor counties collection,1
Reading School player statistics,16,18950715,statistics,Tony Webb minor counties collection,1
Reading School players,16,18950715,player information,Tony Webb minor counties collection,1
Biscuit Factory Second XI v White Cross,17,18950727,match information,Tony Webb minor counties collection,1
Avondale v Co-Operative,17,18950731,match information,Tony Webb minor counties collection,1
Reading v Reading School,17,18950731,match information,Tony Webb minor counties collection,1
Reading v Abingdon,17,18950727,match information,Tony Webb minor counties collection,1
Reading Wednesday v Dormer's XI,17,18950731,match information,Tony Webb minor counties collection,1
Aldermaston v Mortimer,17,18950727,match information,Tony Webb minor counties collection,1
Guildhall v Hungerford,17,18950731,match information,Tony Webb minor counties collection,1
Theale v Englefield,17,18950727,match information,Tony Webb minor counties collection,1
Heath End v Mcilroy's,17,18950801,match information,Tony Webb minor counties collection,1
Heath End v St Laurence's,17,18950727,match information,Tony Webb minor counties collection,1
Maiden Erleigh v Reading,17,18950729,match information,Tony Webb minor counties collection,1
Oxford-Road v Wycliffe,17,18950727,match information,Tony Webb minor counties collection,1
Highclere Castle v Hampshire Hogs,17,18950730,match information,Tony Webb minor counties collection,1
Guildhall v Newtown,17,18950727,match information,Tony Webb minor counties collection,1
Reading Cricket Week,18,18950800,article,Tony Webb minor counties collection,1
Reading v Marylebone,18,18950805,match information,Tony Webb minor counties collection,1
Reading v C E Keymer's XI,18,18950806,match information,Tony Webb minor counties collection,1
Reading v W Howard Palmer's XI,18,18950807,match information,Tony Webb minor counties collection,1
Reading v Honnslow Garrison,18,18950809,match information,Tony Webb minor counties collection,1
