LINCOLN RUTLAND AND STAMFORD MERCURY: FRIDAY 11 OCTOBER 1895

CRICKET.

BURGHLEY PARK CRICKET CLUB.

The club played 13 matches, winning six, losing five, and two were drawn. Atkins and T. Blades bowled very well, and practically did all the work in that department. Atkins kept the ground in splendid condition, and has been engaged again for next season.

BATTING AVERAGES.

| Batsmen. | No. of innings. | Times not out. | Most in an innings. | Total No. of runs. | Average. |
|---|---|---|---|---|---|
| H. Easton | 12 | 6 | 72 | 462 | 38.6 |
| H.G. Peacock | 9 | 3 | 57 | 172 | 30.2 |
| W.K. Hamilton | 9 | 0 | 72 | 156 | 22.4 |
| C.N. Hay | 9 | 0 | 47 | 155 | 17.4 |
| J. Atter | 4 | 0 | 25 | 68 | 17.1 |
| Atkins | 15 | 1 | 34* | 215 | 16.3 |
| G. Clayton | 3 | 0 | 56 | 45 | 15.4 |
| H.E. Hunt | 2 | 0 | 36 | 30 | 15 |
| L.W. Phillips | 7 | 0 | 38 | 102 | 14.2 |
| E. Price | 12 | 1 | 54* | 152 | 12.10 |
| C. Atter | 7 | 2 | 32* | 53 | 12 |
| C. Hunt | 14 | 1 | 23* | 151 | 11.7 |
| C.T. Burroughes | 4 | 0 | 22* | 42 | 10.2 |
| T. Blades | 11 | 4 | 23 | 65 | 9.2 |
| E.J. Eavis | 4 | 0 | 26 | 29 | 7.2 |
| G.H. Chapman | 6 | 1 | 36* | 28 | 7.4 |
| J. Pepper | 3 | 1 | 12* | 12 | 6 |
| F. Sherlock | 5 | 2 | 12* | 15 | 5 |
| J. Seaton | 3 | 0 | 11 | 12 | 4 |
| A.E. Thompson | 2 | 0 | 9 | 11 | 5.2 |
| H.F. Young | 5 | 1 | 5 | 6 | 2 |

The following played two innings:—F. J. Gooch, 72-56; A. W. Smith, 64-1; W. W. Lowe, 4-18; H. N. Burroughes, 1*-17; J. Furley, 16-15; E. Barsby, 14-9; C. F. Atkies, 6-4; L. B. Woodforde, 0-2
