STAFFORDSHIRE SENTINEL: SATURDAY 3 AUGUST 1895-2.

**NORTH STAFFORDSHIRE AND DISTRICT CRICKET LEAGUE**

**RESULTS UP TO DATE.**

**1ST DIVISION.**

| Name of Club. | Played. | Won. | Lost. | Drawn. | Pts. |
|---|---|---|---|---|---|
| Biddulph | 14 | 9 | 2 | 3 | 21 |
| Leek | 15 | 9 | 2 | 4 | 20 |
| Burslem | 12 | 9 | 1 | 2 | 20 |
| Silverdale | 12 | 6 | 4 | 2 | 14 |
| Norton | 12 | 6 | 6 | 0 | 12 |
| Leek | 12 | 4 | 6 | 2 | 10 |
| Trentham | 14 | 4 | 9 | 1 | 9 |
| County Club | 12 | 3 | 7 | 2 | 8 |
| Porthill | 15 | 3 | 8 | 4 | 10 |
| Norton | 14 | 0 | 9 | 2 | 2 |

Unfortunately the League cricket of last Saturday can be summed up very briefly.

Of the four matches arranged not one was brought

**2ND DIVISION.**

| Clubs. | Played. | Won. | Lost. | Drawn. | Pts. |
|---|---|---|---|---|---|
| Bignall End | 12 | 9 | 2 | 1 | 19 |
| Nantwich | 10 | 8 | 1 | 1 | 17 |
| Leek Church | 14 | 6 | 4 | 4 | 16 |
| Talke | 14 | 6 | 5 | 3 | 15 |
| Bucknall | 12 | 6 | 6 | 0 | 12 |
| Silverdale | 12 | 5 | 5 | 2 | 12 |
| Audley | 11 | 4 | 5 | 2 | 10 |
| Rocanall Church | 11 | 4 | 5 | 2 | 10 |
| Crewe Hall | 14 | 2 | 10 | 2 | 6 |

to a conclusion. At Nantwich the ground was in such a condition as to preclude the possibility of play. ing at all, while at Crewe the improbaty nature of the Porthill was only progressing for the space of ten minutes, and at Kenton, Crewe responded far enough to decide the first innings of the home team, and a like measure of mercy stretched Tunstall's efforts against the Club and ground.

Each Club Secretary, therefore, is compelled to be content with the unsatisfactory one point that action is drawn on his club.

To-day being the the Wakes, it is usual a light one, so far as the League fixtures are concerned. Those only the matches that are arranged are Tunstall v Burslem, and Nantwich v Knutton, v Crewe, &c, Nantwich and the Crewe v. Croker League, the North Staffs and District Cricket League. It must be borne in mind that the action of the League at the commencement of the season which lengthened the time for League matches would have resulted, had fair weather have been the rule instead of the exception, in causing more matches than usual to be played to a finish.

To-day we give the batting averages of the players of the North Staffordshire League matches up to the end of July. The limit is fixed at six innings. A glance at the table will show that a close struggle is taking place for the premier position.

| | Times not out. | Most in an inn. | Total runs. | Avge. |
|---|---|---|---|---|
| A Hollywood | 7 | 4 | 96 | 15.6 |
| Brown (J) | 11 | 3 | 201 | 25.6 |
| L Parker | 9 | 1 | 86 | 20.6 |
| T Cunliff | 12 | 4 | 67 | 225 | 25.5 |
| G Pape | 11 | 1 | 100 | 260 | 24.9 |
| H Greenwood | 12 | 0 | 85 | 261 | 25.4 |
| Kirkby | 12 | 0 | 75 | 260 | 23.0 |
| R Sheldon | 10 | 0 | 54 | 120 | 13.0 |
| Howlett | 12 | 2 | 54 | 217 | 21.7 |
| R Osborne | 11 | 0 | 55 | 226 | 20.5 |
| W Knowles | 11 | 1 | 41 | 231 | 20.1 |
| Hulme | 13 | 2 | 50 | 212 | 19.2 |
| T M Owen | 9 | 1 | 39 | 138 | 17.2 |
| W B Jones | 11 | 2 | 35 | 156 | 17.3 |
| J Farrell | 10 | 2 | 35 | 155 | 16.4 |
| Ling | 13 | 1 | 54 | 167 | 16.4 |
| H A Cradiss | 7 | 1 | 25 | 92 | 16.0 |
| H F Webb | 8 | 1 | 35 | 131 | 16.4 |
| W H Calkin | 13 | 1 | 31 | 180 | 15.8 |
| H Hopkins | 9 | 1 | 50 | 127 | 15.8 |
| O Brace | 7 | 0 | 30 | 103 | 15.4 |
| W S Dean | 11 | 1 | 26 | 154 | 15.2 |
| R Grinbelly | 9 | 1 | 30 | 89 | 14.8 |
| Braden | 14 | 2 | 39 | 168 | 14.0 |
| Rev P E Mainwaring | 11 | 0 | 60 | 176 | 13.0 |
| G Bateman | 10 | 3 | 38 | 96 | 13.5 |
| Beckwith | 8 | 1 | 41 | 103 | 13.1 |
| P Reynolds | 12 | 0 | 47 | 130 | 12.6 |
| E Meakin | 11 | 3 | 27 | 97 | 12.1 |
| A V Walker | 9 | 1 | 28 | 95 | 11.9 |
| W H Steele | 11 | 0 | 79 | 127 | 11.5 |
| J P Eftams | 13 | 2 | 27 | 120 | 10.9 |
| W Roberts | 9 | 0 | 23 | 79 | 10.7 |
| G C Wardle | 11 | 0 | 31 | 115 | 10.7 |
| W Garner | 11 | 0 | 23 | 90 | 10.7 |
| W I Vickerslur.. | 9 | 0 | 30 | 74 | 10.5 |
| W Turner | 14 | 2 | 29 | 125 | 10.4 |
| Cartwright | 8 | 0 | 8 | 49 | 7.7 |
| E Brown | 7 | 3 | 14 | 33 | 9.7 |
| W Holdcroft | 11 | 2 | 32 | 85 | 9.5 |
| C Martin | 13 | 0 | 27 | 121 | 9.3 |
| T Peake | 6 | 2 | 35 | 33 | 9.0 |
| T Thomas | 7 | 1 | 12 | 52 | 8.2 |
| T Clarke | 9 | 4 | 19 | 54 | 9.0 |
| T Bullock | 9 | 0 | 43 | 61 | 9.0 |
| H K Mann | 12 | 0 | 19 | 107 | 8.9 |
| W H Smith | 9 | 1 | 19 | 65 | 8.0 |
| Pearson | 9 | 2 | 26 | 65 | 8.8 |
| F G Haslam | 7 | 0 | 37 | 62 | 8.8 |
| T Risum | 11 | 0 | 39 | 73 | 8.7 |
| W Stephen | 12 | 0 | 14 | 101 | 8.6 |
| A Beres | 9 | 2 | 29 | 60 | 8.5 |
| W Heaton | 9 | 0 | 17 | 72 | 8.4 |
| A H Wardle | 11 | 0 | 35 | 85 | 8.3 |
| J Turner | 13 | 0 | 24 | 106 | 8.1 |
| Markos | 11 | 0 | 35 | 89 | 8.1 |
| J Lowe | 6 | 0 | 7 | 24 | 8.0 |
| E Owen | 8 | 0 | 14 | 53 | 7.5 |
| W Boulton | 9 | 1 | 24 | 61 | 7.6 |
| W Bowler | 12 | 0 | 39 | 65 | 7.5 |
| Dr Horder | 12 | 0 | 29 | 90 | 7.5 |
| G Henshall | 11 | 0 | 18 | 57 | 7.3 |
| C Simpson | 11 | 0 | 50 | 73 | 7.5 |
| A Walstke | 12 | 1 | 16 | 75 | 7.9 |
| E J Stevenson | 10 | 1 | 15 | 60 | 6.6 |

| E Dore | 7 | 0 | 29 | 45 | 6.4 |
| W Edwards | 7 | 0 | 17 | 45 | 6.4 |
| S Riley | 6 | 0 | 12 | 31 | 6.2 |
| J Heakin | 6 | 0 | 22 | 37 | 6.2 |
| G F Leese | 9 | 0 | 18 | 59 | 6.2 |
| W Bullock | 7 | 0 | 18 | 42 | 6.0 |
| H Wright | 11 | 1 | 17 | 58 | 5.8 |
| S Garner | 6 | 0 | 15 | 35 | 5.8 |
| A Simpson | 5 | 0 | 12 | 27 | 5.4 |
| G H Brown | 10 | 0 | 22 | 50 | 5.0 |
| W Snow | 6 | 0 | 9 | 23 | 5.0 |
| E Dawson | 11 | 0 | 19 | 48 | 5.5 |
| G Buckley | 9 | 3 | 32 | 32 | 5.3 |
| Baker | 10 | 0 | 30 | 45 | 5.0 |
| G Meadow | 8 | 0 | 24 | 25 | 5.0 |
| H Keeling | 11 | 0 | 15 | 54 | 4.9 |
| S Walker | 12 | 0 | 12 | 60 | 4.9 |
| J Lankback | 9 | 0 | 12 | 26 | 4.6 |
| W G White | 7 | 0 | 0 | 27 | 4.0 |
| J Peake | 9 | 2 | 17 | 26 | 4.6 |
| T Smith | 9 | 0 | 23 | 35 | 3.9 |
| W C Bacon | 9 | 0 | 15 | 29 | 3.6 |
| A E Jones | 10 | 0 | 7 | 30 | 3.3 |
| Myatt | 11 | 0 | 6 | 26 | 2.5 |
| J O Challinor | 7 | 0 | 8 | 13 | 2.7 |
| Henson | 8 | 0 | 4 | 16 | 2.6 |
| C Massey | 7 | 0 | 0 | 16 | 2.2 |
| W Harrison | 9 | 0 | 0 | 9 | 1.0 |
| J W Dore | 8 | 0 | 0 | 5 | 0.6 |

